Date,Open
22-Mar-95,4072.61
21-Mar-95,4083.68
20-Mar-95,4073.65
17-Mar-95,4069.15
16-Mar-95,4038.37
15-Mar-95,4048.75
14-Mar-95,4025.23
13-Mar-95,4035.61
10-Mar-95,3983.39
9-Mar-95,3979.23
8-Mar-95,3962.63
7-Mar-95,3997.56
6-Mar-95,3989.61
3-Mar-95,3979.93
2-Mar-95,3994.80
1-Mar-95,4011.05
28-Feb-95,3988.57
27-Feb-95,4011.74
24-Feb-95,4003.33
23-Feb-95,3979.45
22-Feb-95,3963.97
21-Feb-95,3953.54
17-Feb-95,3987.52
16-Feb-95,3986.17
15-Feb-95,3958.25
14-Feb-95,3954.21
13-Feb-95,3939.07
10-Feb-95,3932.68
9-Feb-95,3935.37
8-Feb-95,3937.39
7-Feb-95,3937.73
6-Feb-95,3928.64
3-Feb-95,3876.16
2-Feb-95,3847.56
1-Feb-95,3843.86
31-Jan-95,3832.08
30-Jan-95,3857.99
27-Jan-95,3870.44
26-Jan-95,3871.45
25-Jan-95,3862.70
24-Jan-95,3867.41
23-Jan-95,3869.43
20-Jan-95,3882.21
19-Jan-95,3928.98
18-Jan-95,3930.66
17-Jan-95,3932.34
16-Jan-95,3908.46
13-Jan-95,3859.00
12-Jan-95,3862.03
11-Jan-95,3866.74
10-Jan-95,3861.35
9-Jan-95,3867.41
6-Jan-95,3850.92
5-Jan-95,3857.65
4-Jan-95,3838.48
3-Jan-95,3834.44
30-Dec-94,3833.43
29-Dec-94,3839.49
28-Dec-94,3861.69
27-Dec-94,3833.43
23-Dec-94,3814.92
22-Dec-94,3801.80
21-Dec-94,3767.15
20-Dec-94,3790.70
19-Dec-94,3807.19
16-Dec-94,3765.47
15-Dec-94,3746.29
14-Dec-94,3715.34
13-Dec-94,3718.37
12-Dec-94,3691.11
9-Dec-94,3685.73
8-Dec-94,3735.52
7-Dec-94,3745.95
6-Dec-94,3741.92
5-Dec-94,3745.62
2-Dec-94,3700.87
1-Dec-94,3739.23
30-Nov-94,3738.55
29-Nov-94,3739.56
28-Nov-94,3708.27
25-Nov-94,3675.97
23-Nov-94,3677.99
22-Nov-94,3769.51
21-Nov-94,3815.26
18-Nov-94,3828.05
17-Nov-94,3845.20
16-Nov-94,3826.36
15-Nov-94,3829.73
14-Nov-94,3801.47
11-Nov-94,3821.99
10-Nov-94,3831.75
9-Nov-94,3830.74
8-Nov-94,3808.87
7-Nov-94,3807.52
4-Nov-94,3845.88
3-Nov-94,3837.13
2-Nov-94,3863.37
1-Nov-94,3908.12
31-Oct-94,3930.66
28-Oct-94,3875.15
27-Oct-94,3848.23
26-Oct-94,3850.59
25-Oct-94,3855.30
24-Oct-94,3891.30
21-Oct-94,3911.15
20-Oct-94,3936.04
19-Oct-94,3917.54
18-Oct-94,3923.93
17-Oct-94,3910.47
14-Oct-94,3889.95
13-Oct-94,3878.18
12-Oct-94,3876.83
11-Oct-94,3828.96
10-Oct-94,3797.43
7-Oct-94,3775.56
6-Oct-94,3787.34
5-Oct-94,3801.13
4-Oct-94,3846.89
3-Oct-94,3843.19
30-Sep-94,3854.63
29-Sep-94,3878.18
28-Sep-94,3863.04
27-Sep-94,3849.24
26-Sep-94,3831.75
23-Sep-94,3837.13
22-Sep-94,3851.60
21-Sep-94,3869.09
20-Sep-94,3932.01
19-Sep-94,3933.35
16-Sep-94,3953.88
15-Sep-94,3895.33
14-Sep-94,3879.86
13-Sep-94,3860.34
12-Sep-94,3874.81
9-Sep-94,3902.06
8-Sep-94,3886.25
7-Sep-94,3898.70
6-Sep-94,3885.58
2-Sep-94,3901.44
1-Sep-94,3913.42
31-Aug-94,3917.30
30-Aug-94,3898.85
29-Aug-94,3881.05
26-Aug-94,3836.69
25-Aug-94,3846.73
24-Aug-94,3775.83
23-Aug-94,3751.22
22-Aug-94,3755.11
19-Aug-94,3755.43
18-Aug-94,3776.48
17-Aug-94,3784.57
16-Aug-94,3760.29
15-Aug-94,3768.71
12-Aug-94,3750.90
11-Aug-94,3766.76
10-Aug-94,3755.76
9-Aug-94,3753.81
8-Aug-94,3747.02
5-Aug-94,3765.79
4-Aug-94,3792.66
3-Aug-94,3796.22
2-Aug-94,3798.17
1-Aug-94,3764.50
29-Jul-94,3730.83
28-Jul-94,3720.47
27-Jul-94,3735.68
26-Jul-94,3741.84
25-Jul-94,3735.04
22-Jul-94,3732.45
21-Jul-94,3727.27
20-Jul-94,3748.31
19-Jul-94,3755.43
18-Jul-94,3753.81
15-Jul-94,3739.25
14-Jul-94,3704.28
13-Jul-94,3702.66
12-Jul-94,3702.99
11-Jul-94,3709.14
8-Jul-94,3688.42
7-Jul-94,3674.50
6-Jul-94,3652.48
5-Jul-94,3646.65
1-Jul-94,3624.96
30-Jun-94,3667.05
29-Jun-94,3669.64
28-Jun-94,3685.50
27-Jun-94,3636.94
24-Jun-94,3699.09
23-Jun-94,3724.77
22-Jun-94,3707.97
21-Jun-94,3741.90
20-Jun-94,3771.07
17-Jun-94,3811.34
16-Jun-94,3790.41
15-Jun-94,3814.83
14-Jun-94,3783.12
13-Jun-94,3773.45
10-Jun-94,3753.14
9-Jun-94,3749.45
8-Jun-94,3755.91
7-Jun-94,3768.52
6-Jun-94,3772.22
3-Jun-94,3758.99
2-Jun-94,3760.83
1-Jun-94,3758.37
31-May-94,3757.14
27-May-94,3753.46
26-May-94,3755.30
25-May-94,3745.17
24-May-94,3742.41
23-May-94,3766.35
20-May-94,3758.98
19-May-94,3732.89
18-May-94,3720.61
17-May-94,3671.50
16-May-94,3659.68
13-May-94,3652.84
12-May-94,3629.04
11-May-94,3656.41
10-May-94,3629.04
9-May-94,3669.50
6-May-94,3695.97
5-May-94,3697.75
4-May-94,3714.41
3-May-94,3701.02
2-May-94,3681.69
29-Apr-94,3668.31
28-Apr-94,3699.54
26-Apr-94,3705.78
25-Apr-94,3648.68
22-Apr-94,3652.54
21-Apr-94,3598.71
20-Apr-94,3619.82
19-Apr-94,3620.42
18-Apr-94,3661.47
15-Apr-94,3663.25
14-Apr-94,3661.47
13-Apr-94,3681.69
12-Apr-94,3688.83
11-Apr-94,3674.26
8-Apr-94,3693.26
7-Apr-94,3679.73
6-Apr-94,3675.41
5-Apr-94,3625.02
4-Apr-94,3633.08
31-Mar-94,3626.75
30-Mar-94,3699.02
29-Mar-94,3762.35
28-Mar-94,3774.73
25-Mar-94,3821.09
24-Mar-94,3865.42
23-Mar-94,3862.55
22-Mar-94,3864.85
21-Mar-94,3895.65
18-Mar-94,3865.14
17-Mar-94,3848.15
16-Mar-94,3849.59
15-Mar-94,3862.98
14-Mar-94,3862.70
11-Mar-94,3830.62
10-Mar-94,3853.41
9-Mar-94,3851.72
8-Mar-94,3856.22
7-Mar-94,3832.30
4-Mar-94,3824.42
3-Mar-94,3831.74
2-Mar-94,3809.23
1-Mar-94,3832.02
28-Feb-94,3838.78
25-Feb-94,3839.90
24-Feb-94,3891.68
23-Feb-94,3911.66
22-Feb-94,3887.46
18-Feb-94,3922.64
17-Feb-94,3937.27
16-Feb-94,3928.27
15-Feb-94,3904.06
14-Feb-94,3894.78
11-Feb-94,3895.34
10-Feb-94,3931.92
9-Feb-94,3906.03
8-Feb-94,3906.32
7-Feb-94,3871.42
4-Feb-94,3967.66
3-Feb-94,3975.54
2-Feb-94,3964.01
1-Feb-94,3978.36
31-Jan-94,3945.43
28-Jan-94,3926.30
27-Jan-94,3908.00
26-Jan-94,3895.34
25-Jan-94,3912.79
24-Jan-94,3914.48
21-Jan-94,3891.96
20-Jan-94,3884.37
19-Jan-94,3870.29
18-Jan-94,3870.29
17-Jan-94,3867.20
14-Jan-94,3842.43
13-Jan-94,3848.63
12-Jan-94,3850.31
11-Jan-94,3865.51
10-Jan-94,3820.77
7-Jan-94,3803.88
6-Jan-94,3798.82
5-Jan-94,3783.90
4-Jan-94,3756.60
3-Jan-94,3754.09
31-Dec-93,3775.88
30-Dec-93,3794.33
29-Dec-93,3793.77
28-Dec-93,3792.93
27-Dec-93,3757.72
23-Dec-93,3762.19
22-Dec-93,3745.15
21-Dec-93,3755.21
20-Dec-93,3751.57
17-Dec-93,3726.14
16-Dec-93,3716.92
15-Dec-93,3742.63
14-Dec-93,3764.43
13-Dec-93,3740.67
10-Dec-93,3729.78
9-Dec-93,3734.53
8-Dec-93,3718.88
7-Dec-93,3710.21
6-Dec-93,3704.07
3-Dec-93,3702.11
2-Dec-93,3697.08
1-Dec-93,3683.95
30-Nov-93,3677.80
29-Nov-93,3683.95
26-Nov-93,3687.58
24-Nov-93,3674.17
23-Nov-93,3670.25
22-Nov-93,3694.01
19-Nov-93,3685.34
18-Nov-93,3704.35
17-Nov-93,3710.77
16-Nov-93,3677.52
15-Nov-93,3684.51
12-Nov-93,3662.43
11-Nov-93,3663.55
10-Nov-93,3640.07
9-Nov-93,3647.90
8-Nov-93,3643.43
5-Nov-93,3624.98
4-Nov-93,3661.87
3-Nov-93,3697.64
2-Nov-93,3692.61
1-Nov-93,3680.59
29-Oct-93,3687.86
28-Oct-93,3664.66
27-Oct-93,3672.49
26-Oct-93,3673.61
25-Oct-93,3649.30
22-Oct-93,3636.16
21-Oct-93,3645.10
20-Oct-93,3635.32
19-Oct-93,3642.31
18-Oct-93,3629.73
15-Oct-93,3621.63
14-Oct-93,3603.19
13-Oct-93,3593.13
12-Oct-93,3593.41
11-Oct-93,3584.74
8-Oct-93,3583.63
7-Oct-93,3598.99
6-Oct-93,3587.26
5-Oct-93,3577.76
4-Oct-93,3581.11
1-Oct-93,3555.12
30-Sep-93,3566.30
29-Sep-93,3566.02
28-Sep-93,3567.70
27-Sep-93,3543.11
24-Sep-93,3539.75
23-Sep-93,3547.02
22-Sep-93,3537.24
21-Sep-93,3575.80
20-Sep-93,3613.25
17-Sep-93,3630.85
16-Sep-93,3633.65
15-Sep-93,3615.76
14-Sep-93,3634.21
13-Sep-93,3621.63
10-Sep-93,3589.49
9-Sep-93,3588.93
8-Sep-93,3607.10
7-Sep-93,3633.93
3-Sep-93,3626.10
2-Sep-93,3645.10
1-Sep-93,3651.25
31-Aug-93,3643.99
30-Aug-93,3640.63
27-Aug-93,3648.18
26-Aug-93,3652.09
25-Aug-93,3638.96
24-Aug-93,3605.98
23-Aug-93,3615.48
20-Aug-93,3612.13
